probe_id,probe_alias
3913Hu5,AT00|3913_HU05
SA01AB0179447MSV,AT00|SA01AB0179447MSV
SA01AB0180565MSV,AT00|SA01AB0180565MSV
SA01AB0186203MSV,AT00|SA01AB0186203MSV
SA01AB0193955MSV,AT00|SA01AB0193955MSV
SA01AB0201470MSV,AT00|SA01AB0201470MSV
SA01AB0176453MSV,AT00|SA01AB0176453MSV
SA01AB0184233MSV,AT00|SA01AB0184233MSV
SA01AB0187222MSV,AT00|SA01AB0187222MSV
SA01AB0188093MSV,AT00|SA01AB0188093MSV
SA01AB0188364MSV,AT00|SA01AB0188364MSV
SA01AB0174565MSV,AT00|SA01AB0174565MSV
SA01AB0181435MSV,AT00|SA01AB0181435MSV
SA01AB0195125MSV,AT00|SA01AB0195125MSV
SA01AB0199486MSV,AT00|SA01AB0199486MSV
SA01AB0185472MSV,AT00|SA01AB0185472MSV
SA01AB0178324MSV,AT00|SA01AB0178324MSV
SA01AB0193205MSV,AT00|SA01AB0193205MSV
SA01AB0188787MSV,AT00|SA01AB0188787MSV
SA01AB0184732MSV,AT00|SA01AB0184732MSV
SA01AB0197290MSV,AT00|SA01AB0197290MSV
SA01AB0201443MSV,AT00|SA01AB0201443MSV
SA01AB0197978MSV,AT00|SA01AB0197978MSV
SA01AB0186985MSV,AT00|SA01AB0186985MSV
SA01AB0182991MSV,AT00|SA01AB0182991MSV
SA01AB0194557MSV,AT00|SA01AB0194557MSV
SA01AB0188934MSV,AT00|SA01AB0188934MSV
SA01AB0174055MSV,AT00|SA01AB0174055MSV
SA01AB0188773MSV,AT00|SA01AB0188773MSV
SA01AB0200184MSV,AT00|SA01AB0200184MSV
SA01AB0175276MSV,AT00|SA01AB0175276MSV
SA01AB0175532MSV,AT00|SA01AB0175532MSV
SA01AB0186862MSV,AT00|SA01AB0186862MSV
SA01AB0185690MSV,AT00|SA01AB0185690MSV
SA01AB0177100MSV,AT00|SA01AB0177100MSV
SA01AB0182460MSV,AT00|SA01AB0182460MSV
SA01AB0183880MSV,AT00|SA01AB0183880MSV
SA01AB0195688MSV,AT00|SA01AB0195688MSV
SA01AB0201256MSV,AT00|SA01AB0201256MSV
SA01AB0199583MSV,AT00|SA01AB0199583MSV
SA01AB0191650MSV,AT00|SA01AB0191650MSV
SA01AB0189488MSV,AT00|SA01AB0189488MSV
SA01AB0195105MSV,AT00|SA01AB0195105MSV
SA01AB0196865MSV,AT00|SA01AB0196865MSV
SA01AB0176172MSV,AT00|SA01AB0176172MSV
SA01AB0187368MSV,AT00|SA01AB0187368MSV
SA01AB0188298MSV,AT00|SA01AB0188298MSV
SA01AB0198106MSV,AT00|SA01AB0198106MSV
SA01AB0191431MSV,AT00|SA01AB0191431MSV
SA01AB0200888MSV,AT00|SA01AB0200888MSV
SA01AB0189423MSV,AT00|SA01AB0189423MSV
SA01AB0192618MSV,AT00|SA01AB0192618MSV
SA01AB0174635MSV,AT00|SA01AB0174635MSV
SA01AB0183913MSV,AT00|SA01AB0183913MSV
SA01AB0198847MSV,AT00|SA01AB0198847MSV
