target_spec_id,target_spec_alias
A431,A431
AT2,AT2
BEAS,BEAS
CFPAC1,CFPAC1
CFPAC1-20,CFPAC1-20
CFPAC1-20-E-Hi,CFPAC1-20_E-Hi
CFPAC1-20-E-Med,CFPAC1-20_E-Md
CFPAC1-39,CFPAC1-39
CFPAC1-39-E-Hi,CFPAC1-39_E-Hi
CFPAC1-39-E-Med,CFPAC1-39_E-Md
CFPAC1-47,CFPAC1-47
CFPAC1-5,CFPAC1-5
CFPAC1-5-E-Hi,CFPAC1-5_E-Hi
CFPAC1-5-E-Med,CFPAC1-5_E-Md
CFPAC1-52,CFPAC1-52
CFPAC1-WT,CFPAC1
CFPAC1-WT-E-Hi,CFPAC1_E-Hi
CFPAC1-WT-E-Med,CFPAC1_E-Md
FHC,FHC
H1975,H1975
HCC827,HCC827
HT29,HT29
keratinocyte,Keratinocyte
Keratinocyte,Keratinocyte
NCI-H2110,NCI-H2110
NCI-H838,NCI-H838
Primary Keratinocyte p1,Prim_Kera_P1
CFPAC1-20-Hi,CFPAC1-20_E-Hi
CFPAC1-20-Med,CFPAC1-20_E-Md
CFPAC1-5-Hi,CFPAC1-5_E-Hi
CFPAC1-5-Med,CFPAC1-5_E-Md
